timestamp	overall_score	composition_score	revitalization_score	duration_score	deep_sleep_in_minutes	resting_heart_rate	restlessness
2019-09-15T07:13:00Z	72	19	14	39	81	70	0.06938326
2019-09-14T07:05:00Z	75	23	13	39	107	69	0.054209919
2019-09-13T06:30:00Z	72	17	16	39	65	67	0.053452116
2019-09-12T06:31:00Z	78	22	17	39	85	67	0.069119287
2019-09-11T06:32:00Z	76	21	17	38	79	66	0.067027027
2019-09-10T06:27:00Z	85	21	22	42	61	67	0.062433862
2019-09-09T06:32:00Z	83	22	19	42	85	68	0.064833006
2019-09-08T06:54:30Z	81	21	21	39	68	68	0.058050383
2019-09-07T07:12:00Z	83	20	20	43	77	69	0.0602537
2019-09-06T06:31:00Z	85	21	21	43	64	69	0.060240964
2019-09-05T06:31:30Z	80	21	20	39	91	68	0.080522307
2019-09-04T06:31:00Z	84	19	22	43	56	70	0.069370331
2019-09-03T06:31:00Z	86	21	23	42	70	72	0.068965517
2019-09-01T07:29:30Z	76	16	19	41	79	72	0.085167464
2019-08-31T07:37:30Z	80	17	22	41	79	73	0.074418605
2019-08-30T06:32:00Z	78	21	18	39	68	72	0.061315496
2019-08-29T06:32:00Z	84	21	21	42	87	74	0.077486911
2019-08-22T06:36:30Z	84	19	23	42	64	77	0.057359307
